pred,label
46,46
25,25
47,45
46,47
45,30
5,45
46,46
47,38
55,54
55,54
30,30
39,35
47,47
55,54
45,45
47,47
46,46
46,46
55,55
45,45
46,23
55,38
38,29
55,55
46,46
55,38
47,47
47,47
45,45
35,53
39,29
55,55
47,47
39,35
47,47
46,46
47,47
46,45
55,54
46,47
46,45
46,45
55,25
38,21
47,47
47,47
38,21
55,38
47,47
47,47
38,39
32,53
46,47
46,45
47,47
47,47
55,55
46,45
46,46
30,18
55,55
32,35
47,47
39,29
54,35
50,59
55,55
55,54
54,25
55,55
55,45
11,50
55,54
30,18
45,45
55,39
46,46
47,47
46,47
47,46
54,29
46,45
46,46
46,46
54,25
53,27
55,39
55,21
46,46
46,46
55,54
46,46
47,47
45,45
38,35
55,32
46,46
46,45
55,25
47,35
47,47
38,21
47,47
47,47
46,47
47,47
47,47
55,39
55,38
55,38
46,47
47,47
39,21
47,47
46,46
47,47
31,23
55,55
54,51
39,29
55,47
47,29
55,55
55,55
45,45
47,47
47,46
55,54
45,45
46,46
47,47
55,54
46,45
47,47
55,47
47,47
55,38
46,45
47,46
46,45
46,47
55,55
46,46
55,39
47,47
46,46
46,45
55,54
55,55
47,47
55,54
46,46
47,47
55,55
47,46
46,47
30,18
38,21
38,32
46,18
55,55
47,25
39,35
46,46
47,47
55,55
47,47
55,39
46,46
46,46
47,47
47,46
55,21
30,11
47,18
46,46
31,27
55,55
38,21
46,46
54,31
47,46
55,54
39,35
55,54
55,55
46,45
47,46
47,47
46,46
29,22
55,47
55,38
55,39
55,54
31,31
55,54
30,18
46,47
46,46
47,47
30,30
47,47
55,54
46,45
46,45
55,55
47,47
55,32
55,38
38,32
55,32
46,46
46,45
31,49
55,38
47,47
46,47
55,54
45,45
45,45
46,47
46,46
55,54
55,55
47,47
46,46
30,11
45,45
47,47
55,54
47,47
46,46
47,47
47,47
45,45
55,55
47,47
54,25
47,47
55,55
55,55
30,2
47,47
45,45
47,47
39,35
46,46
55,55
55,38
46,46
55,32
46,47
47,55
39,35
46,47
45,19
47,47
47,47
38,39
46,46
47,47
47,47
55,38
54,29
54,31
31,53
46,45
47,47
55,54
47,47
39,29
46,45
38,53
30,6
47,47
39,25
46,46
47,39
55,38
54,21
45,45
46,46
46,46
55,55
46,46
47,47
47,47
45,45
55,54
55,55
46,45
46,46
47,47
55,55
55,55
55,32
47,47
30,47
47,55
55,54
38,32
46,46
19,50
31,53
47,46
47,47
46,46
46,46
30,18
45,30
30,19
46,46
55,54
32,31
30,11
55,39
54,27
53,53
30,2
46,45
55,54
46,46
47,47
25,35
46,46
46,46
39,35
38,21
32,31
55,54
55,55
46,47
