pred,label
108,169
5,73
13,190
74,113
202,118
235,194
130,124
169,61
19,142
47,72
224,34
71,383
241,237
224,143
223,150
177,333
41,7
194,260
2,2
98,40
142,369
60,80
61,62
271,362
152,6
232,287
5,113
29,223
19,136
182,158
147,117
200,250
369,383
6,152
214,208
143,143
149,19
226,41
182,22
8,32
98,143
60,55
12,7
223,2
221,203
210,233
14,108
47,103
253,80
41,25
117,48
232,287
31,169
202,22
108,41
5,73
180,194
212,185
71,104
132,236
98,41
14,131
182,182
202,180
44,115
287,107
5,114
232,8
142,253
125,153
10,64
149,30
41,2
369,102
153,186
231,355
131,14
166,117
22,145
1312,177
22,151
98,98
150,47
1312,8
131,107
253,133
1312,32
6,30
150,2
25,15
153,64
32,143
130,2
7,30
12,108
142,61
31,151
226,368
32,190
31,107
48,118
153,55
232,14
7,40
182,14
5,114
149,13
81,150
41,190
14,158
176,256
153,253
202,226
145,237
32,158
142,2
147,56
368,241
13,48
202,241
32,41
12,8
231,378
253,232
5,116
3,128
221,301
287,80
22,150
200,37
182,108
61,26
175,14
153,83
7,299
22,108
7,30
232,14
1312,12
224,147
145,143
152,60
209,283
177,231
31,150
368,226
32,8
12,8
71,122
81,121
41,41
328,314
13,41
182,224
269,93
26,384
177,393
152,384
232,253
41,2
7,80
7,182
241,23
200,214
241,230
48,55
7,12
202,180
223,145
149,40
31,98
365,110
142,151
202,200
200,214
368,37
302,208
200,179
7,253
333,17
47,195
12,6
145,182
221,228
177,216
223,2
5,104
210,355
365,207
12,182
36,61
41,40
22,145
81,131
223,14
7,8
361,271
125,73
137,111
7,14
253,32
369,122
299,145
22,26
214,273
98,3
253,220
12,81
202,214
31,152
190,8
31,182
61,125
253,273
333,229
302,361
6,384
41,142
182,143
118,59
108,223
152,125
253,163
74,102
216,278
369,47
182,175
365,290
226,220
6,149
131,8
12,145
98,175
169,166
177,333
182,145
130,8
36,7
182,14
153,73
36,190
149,2
149,154
5,45
26,384
224,158
28,71
7,143
244,229
152,5
12,12
13,147
152,3
177,269
26,384
8,161
143,12
149,7
14,32
190,138
180,200
182,12
7,26
177,235
209,129
41,223
150,223
32,143
131,41
12,12
170,283
12,384
13,147
299,108
224,299
98,232
31,158
131,22
131,8
7,108
74,64
200,220
182,7
180,272
28,5
117,74
31,81
106,41
32,7
12,163
368,225
14,223
74,383
175,81
145,143
41,41
212,257
269,290
81,153
368,209
8,287
180,199
384,224
368,221
98,190
143,158
61,117
93,42
231,233
202,171
3,102
74,73
6,42
22,369
202,229
3,118
368,171
98,299
209,229
147,104
8,8
7,143
253,382
145,190
32,143
147,62
293,69
12,287
158,2
61,125
130,145
13,3
253,253
200,253
149,40
62,60
150,107
81,149
7,142
1312,29
190,253
232,299
182,12
224,41
26,117
8,8
61,96
31,125
6,150
182,145
182,35
149,8
333,91
253,171
212,337
241,244
3,102
253,249
365,80
200,209
41,190
57,318
8,224
142,13
2,107
108,61
287,143
32,143
299,299
244,162
202,328
175,107
8,108
368,233
152,369
145,190
253,142
210,362
71,111
368,271
12,299
253,287
117,5
224,32
41,169
231,216
81,190
41,61
253,287
47,377
32,158
27,118
121,131
253,171
41,158
249,391
132,284
55,319
182,108
19,223
7,98
177,365
235,9
214,273
19,253
145,175
32,6
145,107
12,3
180,200
12,7
235,303
31,7
125,143
98,30
180,200
202,10
253,270
145,29
12,145
61,384
62,153
221,292
223,10
142,81
224,26
74,55
226,328
13,56
145,3
14,158
154,15
130,108
65,115
235,141
214,80
232,299
29,365
12,143
209,161
108,149
145,237
143,143
224,253
32,143
25,102
149,106
41,107
200,253
169,151
81,161
224,143
14,8
7,8
12,40
180,211
299,253
145,30
241,276
131,190
223,152
368,271
149,182
182,106
61,61
202,302
224,19
441,99
200,132
6,223
145,81
231,229
145,158
224,30
390,398
41,8
224,31
150,131
169,106
169,135
26,96
41,26
223,151
131,41
368,221
223,151
108,151
190,268
61,30
8,7
253,145
202,241
98,143
41,108
3,197
19,149
142,131
143,216
32,145
182,32
177,333
41,34
1312,211
369,44
365,85
32,143
182,22
150,200
106,167
149,369
149,151
31,150
28,45
253,61
299,8
328,286
145,211
150,40
81,149
22,150
3,128
62,104
200,211
368,212
81,106
299,35
368,243
182,22
149,166
36,190
26,45
182,130
142,3
14,7
26,117
107,182
269,302
60,44
26,41
226,226
135,26
98,151
152,154
232,17
202,41
180,216
41,12
269,110
241,232
253,177
22,111
333,176
7,41
41,106
111,147
241,161
14,22
202,214
271,80
182,253
169,186
55,49
98,224
41,143
166,44
22,14
12,158
299,8
299,287
235,229
7,106
145,299
210,216
145,14
253,13
368,333
19,151
6,151
166,108
13,13
152,135
7,131
149,14
169,19
130,32
271,46
31,182
169,41
29,145
241,302
202,269
177,365
145,143
175,131
98,80
98,175
202,41
182,232
81,182
117,153
29,182
253,80
368,133
81,153
244,237
131,154
41,32
143,2
231,211
215,334
224,32
253,226
149,151
224,190
182,8
145,143
32,175
7,32
81,190
130,3
13,384
31,138
210,271
81,14
12,299
47,72
241,244
224,299
196,391
32,7
41,107
202,253
152,60
200,220
147,60
209,273
223,152
143,224
299,173
7,8
6,61
108,151
287,253
149,188
41,7
143,158
81,29
333,337
32,143
41,223
117,125
28,104
253,93
223,151
41,154
182,8
177,225
125,60
187,194
61,138
142,30
41,145
153,128
253,177
224,143
154,4
31,150
41,12
22,107
214,250
241,230
7,56
223,135
169,150
29,152
145,143
1312,143
104,322
152,27
22,127
226,235
27,78
177,328
187,351
299,253
19,61
22,41
114,126
32,143
180,333
38,70
290,291
375,353
12,253
223,41
202,237
36,151
26,117
36,147
153,96
81,383
143,143
81,98
8,299
14,30
369,74
149,286
19,131
29,22
221,258
7,8
5,69
182,98
8,12
142,151
12,299
131,14
126,319
19,106
152,166
41,14
369,153
117,237
8,22
41,299
333,208
41,108
81,149
299,32
241,133
177,333
152,147
368,378
135,124
202,241
223,377
6,19
169,106
368,253
145,8
145,30
200,200
223,151
224,143
299,143
231,368
200,232
31,131
41,232
143,200
241,275
107,56
135,137
169,3
29,182
244,362
223,152
223,150
131,121
5,78
32,158
152,143
190,143
180,328
287,12
224,158
98,190
31,384
143,253
121,8
202,272
187,193
28,3
177,194
299,8
132,91
145,182
29,223
114,195
328,278
55,319
210,52
7,145
36,8
98,14
209,270
368,355
131,107
46,104
135,71
202,333
299,12
98,143
26,10
106,137
36,151
241,170
287,104
60,74
81,175
241,161
202,127
209,249
169,151
36,190
149,150
190,40
121,176
224,232
12,14
14,143
152,117
1312,108
108,149
32,143
212,279
224,232
32,8
202,214
187,292
224,30
202,328
131,131
253,30
210,207
390,173
7,299
98,287
253,35
29,145
14,253
12,41
202,241
223,150
182,145
12,130
150,160
81,300
223,223
202,163
12,224
61,121
1312,253
180,333
14,30
8,8
32,232
287,226
3,118
1312,143
177,365
223,98
202,257
328,159
200,210
241,244
135,80
130,151
6,60
3,118
145,30
136,28
182,136
61,7
13,169
142,107
41,8
48,83
143,36
152,168
108,135
346,339
145,130
368,271
200,269
235,337
182,7
98,19
182,182
223,190
200,35
135,377
150,384
25,118
81,98
152,13
81,135
177,214
41,30
36,30
98,104
182,224
135,135
175,29
41,8
12,182
3,38
269,208
368,8
143,143
12,10
277,247
200,229
149,131
299,8
153,73
12,125
143,302
13,152
152,60
152,60
1312,14
269,275
41,107
182,8
125,60
31,41
152,384
175,14
200,241
13,161
61,154
287,161
226,266
22,40
182,30
149,19
224,299
226,180
19,149
102,128
182,158
41,108
177,210
202,212
333,80
125,104
106,26
